st_cty,vac_rate,low,med,high,tot_hesi,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,party,believe_in_god,relig_rank,religious_index
KS Bourbon County,31.3,0.21,0.16,0.1,0.47,0.687042343,0.479465138,0.202801656,0.547596307,0,0.66,19,0.55
KS Brown County,50,0.19,0.15,0.09,0.43,0.929640242,0.360394779,0.221903852,0.340655842,0,0.66,19,0.55
KS Butler County,39.8,0.19,0.14,0.08,0.41,0.671123846,0.075772047,0.53167781,0.433938236,0,0.66,19,0.55
KS Chase County,37.9,0.2,0.14,0.09,0.43,0.730340656,0.580070041,0.851639605,0.751671442,0,0.66,19,0.55
KS Chautauqua County,35.6,0.2,0.14,0.09,0.43,0.861190704,0.793059535,0.148360395,0.843043617,0,0.66,19,0.55
KS Cherokee County,38.5,0.23,0.17,0.1,0.5,0.760585801,0.405603311,0.363260108,0.846227316,0,0.66,19,0.55
KS Cheyenne County,39.4,0.2,0.15,0.09,0.44,0.842088507,0.29608405,0.342884432,0.344476281,0,0.66,19,0.55
KS Clark County,40.5,0.21,0.15,0.09,0.45,0.741483604,0.128621458,0.197389366,0.129894938,0,0.66,19,0.55
KS Clay County,47.4,0.2,0.15,0.09,0.44,0.908309456,0.419929959,0.651066539,0.284622732,0,0.66,19,0.55
KS Cloud County,39.9,0.2,0.15,0.09,0.44,0.699140401,0.324418975,0.698503661,0.554600446,0,0.66,19,0.55
KS Coffey County,43,0.2,0.14,0.09,0.43,0.94269341,0.040751353,0.326965934,0.428525947,0,0.66,19,0.55
KS Comanche County,40.1,0.21,0.16,0.1,0.47,0.835402738,0.134670487,0.259789876,0.161731933,0,0.66,19,0.55
KS Cowley County,40.6,0.2,0.15,0.09,0.44,0.7637695,0.633874562,0.224132442,0.566380134,0,0.66,19,0.55
KS Crawford County,40.8,0.23,0.17,0.1,0.5,0.716014008,0.457815982,0.185609678,0.841770137,0,0.66,19,0.55
KS Decatur County,34.2,0.2,0.15,0.09,0.44,0.602037568,0.478828399,0.567971983,0.374084686,0,0.66,19,0.55
KS Dickinson County,44.4,0.2,0.15,0.09,0.44,0.948105699,0.278892073,0.677491245,0.371856097,0,0.66,19,0.55
KS Doniphan County,36.5,0.22,0.16,0.1,0.48,0.788602356,0.427570837,0.618592805,0.430117797,0,0.66,19,0.55
KS Douglas County,64.3,0.19,0.14,0.08,0.41,0.745304043,0.165870742,0.375676536,0.246418338,1,0.66,19,0.55
KS Edwards County,39.9,0.21,0.16,0.1,0.47,0.831900669,0.634829672,0.384272525,0.127029608,0,0.66,19,0.55
KS Elk County,27.9,0.2,0.14,0.09,0.43,0.82394142,0.682585164,0.627825533,0.787647246,0,0.66,19,0.55
KS Ellis County,42.7,0.2,0.15,0.09,0.44,0.722381407,0.251193887,0.404329831,0.396688953,0,0.66,19,0.55
KS Ellsworth County,47.5,0.2,0.15,0.09,0.44,0.964342566,0.166189112,0.688952563,0.308500478,0,0.66,19,0.55
KS Finney County,39.2,0.21,0.15,0.09,0.45,0.718242598,0.497930595,0.462909901,0.434574976,0,0.66,19,0.55
KS Ford County,35.2,0.21,0.15,0.09,0.45,0.723336517,0.630372493,0.521489971,0.489334607,0,0.66,19,0.55
KS Franklin County,42.8,0.21,0.16,0.1,0.47,0.846227316,0.377586756,0.758357211,0.284622732,0,0.66,19,0.55
KS Geary County,58.9,0.23,0.16,0.09,0.48,0.982489653,0.367080548,0.359758039,0.23241006,0,0.66,19,0.55
KS Gove County,44.5,0.2,0.15,0.09,0.44,0.678446355,0.219675263,0.521171601,0.23495702,0,0.66,19,0.55
